REG,P16_POP,P16_POP0014,P16_POP1529,P16_POP3044,P16_POP4559,P16_POP6074,P16_POP75P,P16_POPH,P16_H0014,P16_H1529,P16_H3044,P16_H4559,P16_H6074,P16_H75P,P16_POPF,P16_F0014,P16_F1529,P16_F3044,P16_F4559,P16_F6074,P16_F75P,LIBREG
1,394109.99999999994,76557.7137558961,65755.01498717476,68344.03401954299,90873.29332423584,62528.02649011155,30051.917423038674,181490.76853490912,38744.36336879937,32533.362283980365,28309.467738203184,41484.306877868956,28521.01202727139,11898.256238785916,212619.23146509074,37813.35038709673,33221.65270319436,40034.56628133984,49388.986446366944,34007.014462840154,18153.66118425277,Guadeloupe
2,376480.00000000006,65143.76342376589,60667.34875054988,61352.80275978185,92156.8285385096,62857.20276675829,34302.053760634546,173797.24398896602,33064.529729762246,30033.233883987617,26244.022910217736,41911.5716098827,28852.156652283815,13691.729202832059,202682.75601103384,32079.233694003655,30634.114866562293,35108.779849564075,50245.256928626884,34005.0461144745,20610.324557802473,Martinique
3,269351.99999999994,89027.96441572931,63240.58374653711,57073.76681658958,38589.23415675087,16879.489240668994,4540.961623724111,133716.57500556728,45005.26306374791,31022.357451702333,28108.922987356036,19191.71421997121,8527.333636205634,1860.9836465841386,135635.42499443272,44022.70135198139,32218.22629483477,28964.843829233567,19397.51993677966,8352.155604463362,2679.977977139972,Guyane
4,852924.0000000005,199983.54607767958,172947.67132198837,167554.50953951525,178955.15172761562,96515.39696717726,36967.72436602418,411204.31349273975,102198.11190510586,85218.46994916613,77160.62005141853,86729.16357778011,45860.35867293906,14037.58933632998,441719.6865072602,97785.43417257375,87729.20137282227,90393.88948809673,92225.98814983547,50655.03829423821,22930.13502969421,La Reunion
11,12117130.94790654,2376477.5874309787,2422481.445154431,2602824.3560817223,2340327.5864630546,1553131.6319370142,821888.3408393456,5848247.413955539,1210989.5780804458,1190204.2260896098,1273032.8576317471,1135252.869548312,727020.8969792776,311746.98562612943,6268883.53395101,1165488.0093505285,1232277.2190648227,1329791.4984499663,1205074.716914737,826110.7349577347,510141.3552132151,Île-de-France
24,2577866.0,461816.285008094,415665.38671038393,460587.4349292236,518427.3066549895,445269.25151136244,276100.33518594585,1249894.45927968,235593.50156568325,211214.73793543337,226870.70332337316,255910.18900680114,212601.07553768944,107704.25191070055,1327971.5407203196,226222.78344241,204450.64877495,233716.7316058511,262517.11764818826,232668.17597367297,168396.08327524524,Centre-Val de Loire
27,2818338.000000001,486241.2479339578,460531.4123827367,498228.0830237921,568674.0314453566,500286.2902904195,304376.9349237363,1372340.0774692271,249271.96956580263,236893.28969765716,248000.1320223054,281114.5088251119,240498.04182920457,116562.13552914483,1445997.922530774,236969.27836815602,223638.12268507964,250227.9510014869,287559.52262024424,259788.24846121424,187814.79939459037,Bourgogne-Franche-Comté
28,3335928.9999999967,608656.9236072678,569527.4066304441,600029.9294221995,668939.549723522,560688.7066954352,328086.48392113094,1612879.3320010751,311679.3274064017,288367.789377504,296453.9607703598,328909.7487081334,265654.477068031,121814.02867064696,1723049.667998926,296977.59620086843,281159.61725294054,303575.9686518412,340029.80101538746,295034.22962740355,206272.45525048298,Normandie
32,6006800.3234403515,1180505.8035918628,1124796.591876194,1148779.2232279815,1173431.9502620914,899716.4911863989,479570.2632958218,2912270.823784299,603145.9649555434,570596.2431075957,568782.7391385222,577900.3488048969,421149.35694009415,170696.17083764542,3094529.4996560602,577359.8386363239,554200.3487685997,579996.4840894567,595531.6014572004,478567.1342463044,308874.0924581762,Hauts-de-France
44,5555185.999999996,966490.7271925977,987930.834041072,1035159.165957583,1151288.0534285465,899460.1333483458,514857.0860318632,2708519.6559541244,494464.7081033332,504724.86134012806,514964.0362513268,568486.2722170975,431749.90397530026,194129.87406694342,2846666.3440458756,472026.01908926363,483205.97270094097,520195.1297062557,582801.781211442,467710.22937304934,320727.21196492156,Grand Est
52,3737631.999999996,713375.9371966844,638643.9921637313,700957.7847747401,724067.3511170289,599130.9397824879,361455.9949653274,1820331.1860031476,364662.59307450894,324500.1203525985,350218.1746788376,358518.2197516621,283937.1975195333,138494.88062600885,1917300.8139968517,348713.34412217524,314143.87181113247,350739.61009590235,365549.13136536686,315193.7422629557,222961.11433931868,Pays de la Loire
53,3306529.0000000023,587640.7527825695,546923.6823132116,597071.6038701383,660335.1390047116,567447.0867270092,347110.7353023618,1605844.7672313608,300067.61153726355,281840.27713823214,299332.4110386267,327610.73522112257,268594.7879028816,128398.944393236,1700684.232768639,287573.141245305,265083.4051749793,297739.19283151143,332724.40378358983,298852.2988241262,218711.79090912556,Bretagne
75,5935603.0,967644.4302170223,948841.5654179933,1057375.1319513856,1204477.5374619688,1081505.9153638072,675758.4195878223,2859363.1701264367,494871.6243426172,480943.1559770738,521105.77873491886,587680.0347248486,512973.6617440332,261788.9146029501,3076239.829873569,472772.80587440485,467898.4094409207,536269.3532164696,616797.5027371211,568532.253619777,413969.5049848721,Nouvelle-Aquitaine
76,5808434.999999989,978531.2998711122,985098.6946489087,1051638.8619729641,1159692.7203795025,1013384.846065589,620088.5770619194,2807531.928868316,501132.18875669275,497612.1586687952,516989.47447654075,565545.905010978,481315.1004708839,244937.10148441282,3000903.071131676,477399.1111144197,487486.535980109,534649.3874964236,594146.815368529,532069.7455947064,375151.4755775055,Occitanie
84,7916888.999999992,1460644.4019493423,1402459.9314202145,1513172.7397764812,1562193.8259022578,1244661.4419581746,733756.658993532,3851246.871591371,747780.3104970573,709845.1057846949,750328.4669940693,771168.276094509,591124.3775030975,281000.3347179476,4065642.128408627,712864.0914522858,692614.825635521,762844.2727824094,791025.5498077498,653537.0644550796,452756.32427558367,Auvergne-Rhône-Alpes
93,5021928.000000003,848709.7334645049,827190.1115688853,910949.2707386332,1008923.1080479487,878183.3569025537,547972.4192774765,2403279.203290316,435268.60622325586,418594.24899571826,442114.1115125988,484009.6969452845,409634.30524499837,213658.2343684586,2618648.7967096795,413441.1272412473,408595.86257316696,468835.1592260336,524913.4111026643,468549.051657555,334314.1849090163,Provence-Alpes-Côte d'Azur
94,330455.0000000001,50826.20149599216,51568.14682979466,62923.80953740199,69258.90680574438,59769.745239747965,36108.19009131888,160774.45852433064,26274.960416230628,26065.635363070585,30573.32814589794,34071.48637358385,28807.760110425173,14981.28811512249,169680.5414756695,24551.241079761596,25502.511466724023,32350.48139150406,35187.420432160514,30961.985129322795,21126.901976196383,Corse
